,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
372,Vasilis Katsoupis,Inside,897190.0,897190.0,897190.0,55.0,55.0,55.0
373,Gianfranco Mingozzi,What Every Frenchwoman Wants,,,,56.0,56.0,56.0
374,Aline Brosh McKenna,Your Place or Mine,,,,57.0,57.0,57.0
375,Nuri Bilge Ceylan,"About Dry Grasses, Winter Sleep, Once Upon a Time in Anatolia",4018705.0,2099472.0,2776432.0,81.0,78.0,79.66666666666667
376,Herk Harvey,Carnival of Souls,,,,70.0,70.0,70.0
377,Mike Newell,"Donnie Brasco, Four Weddings and a Funeral, Mona Lisa Smile, Harry Potter and the Goblet of Fire, Prince of Persia: The Sands of Time, The Guernsey Literary and Potato Peel Pie Society",897048648.0,23148937.0,294751974.0,77.0,65.0,71.5
378,Penny Marshall,"A League of Their Own, Awakenings, The Preacher's Wife, Riding in Cars with Boys, Big",151927281.0,35743308.0,84061985.6,78.0,57.0,69.2
379,Duncan Jones,"Moon, Source Code, Warcraft, Mute",439048914.0,9760107.0,198713906.0,78.0,54.0,68.5
380,Forest Whitaker,"Hope Floats, First Daughter, Waiting to Exhale",81471882.0,10592180.0,57838739.333333336,60.0,51.0,57.0
381,Alan Myerson,Private Lessons,26279000.0,26279000.0,26279000.0,51.0,51.0,51.0
382,Bob Fosse,"All That Jazz, Cabaret, Star 80",37823676.0,108405.0,14801690.333333334,78.0,68.0,74.66666666666667
383,Nicolás Onetti,The Last Boy on Earth,,,,35.0,35.0,35.0
384,Peter Horton,"Amazon Women on the Moon, The Cure",2568425.0,548696.0,1558560.5,77.0,62.0,69.5
385,Jeremy Dyson,Ghost Stories,4131358.0,4131358.0,4131358.0,64.0,64.0,64.0
386,Mark Mylod,"The Menu, Ali G Indahouse, What's Your Number?",79628200.0,23280529.0,44444941.666666664,72.0,60.0,64.66666666666667
387,Stephen Elliott,About Cherry,8315.0,8315.0,8315.0,48.0,48.0,48.0
388,M. Night Shyamalan,"The Village, The Last Airbender, Unbreakable, Glass, Signs, The Visit, The Happening, After Earth, Lady in the Water, Knock at the Cabin, Split, The Sixth Sense, Old",672806432.0,54760947.0,242630445.84615386,82.0,40.0,61.69230769230769
389,Allan Moyle,"Empire Records, Pump Up the Volume",11541758.0,273188.0,5907473.0,72.0,67.0,69.5
390,Adam Sigal,Nandor Fodor and the Talking Mongoose,5610.0,5610.0,5610.0,53.0,53.0,53.0
